Ingredient code,Ingredient description,ingredient_clean,taxon_clean,Similarity,Level.code,taxon.food.description
1001,"Butter, salted",butter salted,butter,0.755,81101,Butter
1002,"Butter, whipped, with salt",butter whipped salt,butter whipped,0.931,81107,Butter whipped
1003,"Butter oil, anhydrous",butter oil anhydrous,butter,0.472,81101,Butter
1004,"Cheese, blue",cheese blue,cheese,0.694,14,Cheeses
1005,"Cheese, brick",cheese brick,brick,0.731,14102,Brick
1006,"Cheese, brie",cheese brie,cheese,0.74,14,Cheeses
1007,"Cheese, camembert",cheese camembert,camembert brie,0.809,14103,Camembert or Brie
1009,"Cheese, cheddar",cheddar cheese,cheddar,0.86,141041,Cheddar
1011,"Cheese, colby",cheese colby,colby jack,0.634,141042,Colby or Colby Jack
1012,"Cheese, cottage, creamed, large or small curd",large small cottage creamed cheese curd,dry salted cottage cheese curd,0.669,14203,Cheese cottage dry or salted curd
1013,"Cheese, cottage, creamed, with fruit",creamed cheese cottage fruit,cheese cottage,0.784,142,Cottage cheeses
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",dry nonfat large small cottage uncreamed cheese curd,dry salted cottage cheese curd,0.632,14203,Cheese cottage dry or salted curd
1015,"Cheese, cottage, lowfat, 2% milkfat",lowfat milkfat cottage 2 cheese,lowfat cheese cottage,0.847,14204,Cheese cottage lowfat
1016,"Cheese, cottage, lowfat, 1% milkfat",lowfat milkfat cottage 1 cheese,lowfat cheese cottage,0.851,14204,Cheese cottage lowfat
1017,"Cheese, cream",cheese cream,cheese cream,1.0,143,Cream cheeses
1018,"Cheese, edam",edam cheese,edam,0.769,141051,Edam
1019,"Cheese, feta",feta cheese,feta,0.735,141044,Feta
1020,"Cheese, fontina",fontina cheese,fontina,0.841,141046,Fontina
1022,"Cheese, gouda",gouda cheese,gouda,0.839,141050,Gouda
1023,"Cheese, gruyere",gruyere cheese,gruyere,0.88,141052,Gruyere
1024,"Cheese, limburger",cheese limburger,limberger,0.608,141060,Limberger
1025,"Cheese, monterey",monterey cheese,monterey,0.852,141062,Monterey
1026,"Cheese, mozzarella, whole milk",milk whole cheese mozzarella,mozzarella,0.794,141070,Mozzarella
1027,"Cheese, mozzarella, whole milk, low moisture",milk moisture mozzarella whole low cheese,mozzarella,0.681,141070,Mozzarella
1028,"Cheese, mozzarella, part skim milk",milk part mozzarella skim cheese,mozzarella,0.746,141070,Mozzarella
1029,"Cheese, mozzarella, low moisture, part-skim",part moisture mozzarella skim low cheese,mozzarella,0.678,141070,Mozzarella
1030,"Cheese, muenster",muenster cheese,muenster,0.863,141072,Muenster
1032,"Cheese, parmesan, grated",parmesan grated cheese,parmesan,0.755,141080,Parmesan
1033,"Cheese, parmesan, hard",parmesan hard cheese,parmesan,0.759,141080,Parmesan
1035,"Cheese, provolone",provolone cheese,provolone,0.888,141084,Provolone
1036,"Cheese, ricotta, whole milk",ricotta milk whole cheese,ricotta cheese cottage,0.728,14201,Cottage cheese or Ricotta
1037,"Cheese, ricotta, part skim milk",milk part ricotta skim cheese,ricotta cheese cottage,0.655,14201,Cottage cheese or Ricotta
1038,"Cheese, romano",romano cheese,romano,0.786,141081,Romano
1040,"Cheese, swiss",cheese swiss,cheese swiss,1.0,14412,Cheese Swiss
1042,"Cheese, pasteurized process, American, fortified with vitamin D",fortified process vitamin american pasteurized cheese,american cheese,0.524,14410,Cheese American
1043,"Cheese, pasteurized process, pimento",pimento pasteurized cheese process,pimento cheese,0.636,14411,Cheese pimento
1044,"Cheese, pasteurized process, swiss",pasteurized cheese swiss process,cheese swiss,0.631,14412,Cheese Swiss
1046,"Cheese food, pasteurized process, American, vitamin D fortified",fortified process vitamin american pasteurized cheese,american cheese,0.524,14410,Cheese American
1048,"Cheese spread, pasteurized process, American",process american pasteurized cheese spread,processed cheese spread,0.666,144,Processed cheeses and cheese spreads
1049,"Cream, fluid, half and half",fluid half cream,half cream,0.787,1212,Cream half and half
1050,"Cream, fluid, light (coffee cream or table cream)",table coffee light cream fluid,light cream,0.602,1211,Cream light
1052,"Cream, fluid, light whipping",fluid whipping light cream,whipped cream light,0.727,1214,Cream whipped light
1053,"Cream, fluid, heavy whipping",fluid whipping heavy cream,heavy whipped cream,0.724,1215,Cream whipped heavy
1054,"Cream, whipped, cream topping, pressurized",topping whipped pressurized cream,whipped pressurized cream,0.903,1216,Cream whipped pressurized
1055,"Cream, sour, reduced fat, cultured",reduced sour fat cream cultured,reduced fat cream sour,0.815,1233,Sour cream reduced fat
1056,"Cream, sour, cultured",cream cultured sour,cream sour,0.666,123,Sour cream
1057,Eggnog,eggnog,eggnog,1.0,1153,Eggnog
1061,"Cheese, American, nonfat or fat free",nonfat free fat american cheese,american cheese,0.709,14410,Cheese American
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",hydrogenated substitute oil soy liquid cream protein vegetable,mainly substitute cereal meat protein,0.57,59,Meat substitutes mainly cereal protein
1069,"Cream substitute, powdered",powdered cream substitute,powdered cream substitute,1.0,1223,Cream substitutes powdered
1073,"Dessert topping, semi solid, frozen",topping semi dessert frozen solid,dessert milk frozen,0.627,131,Milk desserts frozen
1074,"Sour cream, imitation, cultured",imitation cream cultured sour,imitation cream sour,0.819,1234,Sour cream imitation
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",milk added whole vitamin milkfat 325,fluid milk whole,0.457,1111,Milk fluid whole
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",milk added reduced vitamin fat milkfat 2 fluid,fluid milk nonfat,0.568,1114,Milk fluid nonfat
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",milk added lowfat vitamin milkfat fluid 1,fluid milk nonfat,0.577,1114,Milk fluid nonfat
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",milk added nonfat free vitamin fat skim fluid,fluid milk nonfat,0.727,1114,Milk fluid nonfat
1088,"Milk, buttermilk, fluid, cultured, lowfat",milk lowfat buttermilk cultured fluid,buttermilk,0.66,1117,Buttermilk
1089,"Milk, low sodium, fluid",fluid milk sodium low,fluid milk whole,0.645,1111,Milk fluid whole
1090,"Milk, dry, whole, with added vitamin D",milk dry added whole vitamin,fluid milk whole,0.473,1111,Milk fluid whole
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",milk dry nonfat regular without added vitamin,fluid milk nonfat,0.469,1114,Milk fluid nonfat
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",instant milk dry added nonfat vitamin,fluid milk nonfat,0.496,1114,Milk fluid nonfat
1094,"Milk, buttermilk, dried",dried milk buttermilk,buttermilk,0.874,1117,Buttermilk
1095,"Milk, canned, condensed, sweetened",condensed milk canned sweetened,condensed milk,0.747,1122,Milk condensed
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",milk added without evaporated vitamin canned,milk evaporated,0.702,1121,Milk evaporated
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",milk added nonfat evaporated vitamin canned,milk evaporated,0.695,1121,Milk evaporated
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",commercial milk added whole vitamin fluid chocolate,fluid milk whole,0.605,1111,Milk fluid whole
