Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
1001,"Butter, salted",salted butter,Butter,butter,0.755,81101,,
1002,"Butter, whipped, with salt",salt whipped butter,Butter whipped,whipped butter,0.931,81107,,
1003,"Butter oil, anhydrous",anhydrous oil butter,Butter,butter,0.472,81101,,
1004,"Cheese, blue",blue cheese,Cheeses,cheese,0.694,14,n,14101
1005,"Cheese, brick",brick cheese,Brick,brick,0.731,14102,,
1006,"Cheese, brie",cheese brie,Cheeses,cheese,0.74,14,n ,14103
1007,"Cheese, camembert",cheese camembert,Camembert or Brie,camembert brie,0.809,14103,,
1009,"Cheese, cheddar",cheese cheddar,Cheddar,cheddar,0.86,141041,,
1011,"Cheese, colby",colby cheese,Colby or Colby Jack,jack colby,0.634,141042,,
1012,"Cheese, cottage, creamed, large or small curd",creamed cottage small curd large cheese,Cheese cottage dry or salted curd,cottage curd dry salted cheese,0.669,14203,,
1013,"Cheese, cottage, creamed, with fruit",creamed cottage fruit cheese,Cottage cheeses,cottage cheese,0.784,142,n,14202
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",cottage uncreamed small nonfat curd dry large cheese,Cheese cottage dry or salted curd,cottage curd dry salted cheese,0.632,14203,,
1015,"Cheese, cottage, lowfat, 2% milkfat",cottage milkfat lowfat 2 cheese,Cheese cottage lowfat,cottage lowfat cheese,0.847,14204,,
1016,"Cheese, cottage, lowfat, 1% milkfat",cottage milkfat 1 lowfat cheese,Cheese cottage lowfat,cottage lowfat cheese,0.851,14204,,
1017,"Cheese, cream",cream cheese,Cream cheeses,cream cheese,1,143,,
1018,"Cheese, edam",edam cheese,Edam,edam,0.769,141051,,
1019,"Cheese, feta",cheese feta,Feta,feta,0.735,141044,,
1020,"Cheese, fontina",fontina cheese,Fontina,fontina,0.841,141046,,
1022,"Cheese, gouda",gouda cheese,Gouda,gouda,0.839,141050,,
1023,"Cheese, gruyere",gruyere cheese,Gruyere,gruyere,0.88,141052,,
1024,"Cheese, limburger",limburger cheese,Limberger,limberger,0.608,141060,,
1025,"Cheese, monterey",monterey cheese,Monterey,monterey,0.852,141062,,
1026,"Cheese, mozzarella, whole milk",whole mozzarella cheese milk,Mozzarella,mozzarella,0.794,141070,,
1027,"Cheese, mozzarella, whole milk, low moisture",mozzarella cheese moisture low milk whole,Mozzarella,mozzarella,0.681,141070,,
1028,"Cheese, mozzarella, part skim milk",mozzarella milk part cheese skim,Mozzarella,mozzarella,0.746,141070,,
1029,"Cheese, mozzarella, low moisture, part-skim",mozzarella moisture low part cheese skim,Mozzarella,mozzarella,0.678,141070,,
1030,"Cheese, muenster",muenster cheese,Muenster,muenster,0.863,141072,,
1032,"Cheese, parmesan, grated",parmesan grated cheese,Parmesan,parmesan,0.755,141080,,
1033,"Cheese, parmesan, hard",parmesan cheese hard,Parmesan,parmesan,0.759,141080,,
1035,"Cheese, provolone",provolone cheese,Provolone,provolone,0.888,141084,,
1036,"Cheese, ricotta, whole milk",ricotta milk whole cheese,Cottage cheese or Ricotta,ricotta cottage cheese,0.728,14201,,
1037,"Cheese, ricotta, part skim milk",ricotta milk part cheese skim,Cottage cheese or Ricotta,ricotta cottage cheese,0.655,14201,,
1038,"Cheese, romano",romano cheese,Romano,romano,0.786,141081,,
1040,"Cheese, swiss",swiss cheese,Cheese Swiss,swiss cheese,1,14412,,
1042,"Cheese, pasteurized process, American, fortified with vitamin D",process pasteurized american fortified vitamin cheese,Cheese American,cheese american,0.524,14410,,
1043,"Cheese, pasteurized process, pimento",pimento process pasteurized cheese,Cheese pimento,pimento cheese,0.636,14411,,
1044,"Cheese, pasteurized process, swiss",swiss process pasteurized cheese,Cheese Swiss,swiss cheese,0.631,14412,,
1046,"Cheese food, pasteurized process, American, vitamin D fortified",process pasteurized fortified american vitamin cheese,Cheese American,cheese american,0.524,14410,,
1048,"Cheese spread, pasteurized process, American",spread process pasteurized american cheese,Processed cheeses and cheese spreads,spread processed cheese,0.666,144,,
1049,"Cream, fluid, half and half",fluid cream half,Cream half and half,cream half,0.787,1212,,
1050,"Cream, fluid, light (coffee cream or table cream)",light cream fluid coffee table,Cream light,light cream,0.602,1211,,
1052,"Cream, fluid, light whipping",light fluid cream whipping,Cream whipped light,light cream whipped,0.727,1214,,
1053,"Cream, fluid, heavy whipping",fluid heavy cream whipping,Cream whipped heavy,heavy cream whipped,0.724,1215,,
1054,"Cream, whipped, cream topping, pressurized",pressurized cream whipped topping,Cream whipped pressurized,pressurized cream whipped,0.903,1216,,
1055,"Cream, sour, reduced fat, cultured",cream reduced cultured sour fat,Sour cream reduced fat,fat cream reduced sour,0.815,1233,,
1056,"Cream, sour, cultured",cultured cream sour,Sour cream,cream sour,0.666,123,,
1057,Eggnog,eggnog,Eggnog,eggnog,1,1153,,
1061,"Cheese, American, nonfat or fat free",nonfat american fat free cheese,Cheese American,cheese american,0.709,14410,,
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",cream hydrogenated oil protein liquid substitute soy vegetable,Meat substitutes mainly cereal protein,meat protein mainly substitute cereal,0.57,59,n,122
1069,"Cream substitute, powdered",powdered cream substitute,Cream substitutes powdered,powdered cream substitute,1,1223,,
1073,"Dessert topping, semi solid, frozen",dessert semi topping solid frozen,Milk desserts frozen,milk dessert frozen,0.627,131,,
1074,"Sour cream, imitation, cultured",imitation cultured cream sour,Sour cream imitation,imitation cream sour,0.819,1234,,
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",milkfat added milk 325 vitamin whole,Milk fluid whole,whole milk fluid,0.457,1111,,
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",reduced milkfat added fluid milk 2 fat vitamin,Milk fluid nonfat,nonfat milk fluid,0.568,1114,n,1112
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",milkfat 1 added milk lowfat fluid vitamin,Milk fluid nonfat,nonfat milk fluid,0.577,1114,n,1113
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",nonfat added milk fluid free fat vitamin skim,Milk fluid nonfat,nonfat milk fluid,0.727,1114,,
1088,"Milk, buttermilk, fluid, cultured, lowfat",buttermilk milk cultured lowfat fluid,Buttermilk,buttermilk,0.66,1117,,
1089,"Milk, low sodium, fluid",milk low sodium fluid,Milk fluid whole,whole milk fluid,0.645,1111,,
1090,"Milk, dry, whole, with added vitamin D",added milk dry vitamin whole,Milk fluid whole,whole milk fluid,0.473,1111,,
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",nonfat without milk added dry vitamin regular,Milk fluid nonfat,nonfat milk fluid,0.469,1114,n,1115
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",instant nonfat added milk dry vitamin,Milk fluid nonfat,nonfat milk fluid,0.496,1114,n,1115
1094,"Milk, buttermilk, dried",buttermilk milk dried,Buttermilk,buttermilk,0.874,1117,,
1095,"Milk, canned, condensed, sweetened",milk condensed canned sweetened,Milk condensed,milk condensed,0.747,1122,,
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",added evaporated milk without canned vitamin,Milk evaporated,evaporated milk,0.702,1121,,
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",nonfat evaporated milk added canned vitamin,Milk evaporated,evaporated milk,0.695,1121,,
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",added milk fluid commercial vitamin whole chocolate,Milk fluid whole,whole milk fluid,0.605,1111,n,1118
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",reduced added milk fluid commercial fat vitamin chocolate,Milk or white chocolate,milk white chocolate,0.48,91705,n,1118
